StudentName,Attendance,StudyHours,InternalMarks,AssignmentMarks,PreviousMarks,FinalScore
Aarav Patil 001,72.2,4.6,60.6,65.6,61.1,64.2
Aditi More 002,86.1,3.8,76.1,87.0,79.8,70.3
Aditya Sawant 003,81.9,3.6,66.8,76.2,62.3,61.7
Akash Deshmukh 004,64.7,4.6,74.9,60.8,89.6,67.7
Akshay Kadam 005,63.8,3.5,62.9,69.5,76.1,59.2
Aman Desai 006,61.8,7.1,69.3,74.8,52.9,62.0
Amol Jadhav 007,79.9,2.1,70.4,70.5,79.6,55.9
Ananya Chavan 008,68.5,3.4,84.5,78.8,88.6,72.1
Aniket Kale 009,69.7,6.5,66.7,83.9,71.9,62.7
Anjali Shinde 010,69.1,7.4,77.7,66.9,81.5,65.1
Ansh Gaikwad 011,88.4,5.4,63.9,59.7,87.5,81.1
Arjun Thorat 012,87.8,1.9,67.2,70.7,45.4,55.7
Aryan Pawar 013,86.3,4.3,76.8,74.4,46.4,70.5
Ashish Bhosale 014,50.9,4.8,78.5,78.5,81.2,71.0
Avani Lokhande 015,73.9,5.3,40.4,70.7,66.7,66.7
Bhakti Kulkarni 016,93.8,2.6,54.9,95.8,72.0,62.8
Chetan Mane 017,70.4,4.4,55.1,91.3,55.0,64.7
Deepak Wagh 018,74.5,6.1,70.9,59.7,61.9,63.4
Diya Joshi 019,85.5,3.3,92.1,69.2,65.7,70.1
Gaurav Salunkhe 020,81.3,2.8,70.6,79.1,81.7,69.0
Harsh Patil 021,83.8,3.7,86.7,91.7,73.0,68.0
Isha More 022,74.3,3.5,62.3,75.3,82.7,62.1
Ishaan Sawant 023,98.9,1.0,70.6,68.7,82.9,68.4
Karan Deshmukh 024,76.3,3.6,69.2,64.9,51.7,69.5
Kavya Kadam 025,81.1,4.0,88.3,89.5,69.6,67.1
Krishna Desai 026,65.1,4.2,66.3,77.0,72.1,64.3
Manas Jadhav 027,87.1,5.2,58.5,58.5,65.4,63.9
Manav Chavan 028,78.1,4.1,67.1,71.7,93.6,68.5
Mayur Kale 029,100.0,5.8,68.8,82.8,96.7,82.4
Meera Shinde 030,79.7,4.3,76.8,46.7,60.5,59.0
Mihir Gaikwad 031,58.5,5.2,70.3,100.0,71.4,71.8
Neha Thorat 032,96.6,3.4,75.8,100.0,81.2,86.0
Nikhil Pawar 033,81.3,5.8,85.8,72.2,66.0,70.6
Nikita Bhosale 034,84.6,3.7,49.3,88.1,75.5,68.2
Om Lokhande 035,53.6,4.2,86.0,80.3,42.0,55.6
Pooja Kulkarni 036,73.2,4.7,64.9,83.4,51.8,63.0
Pranav Mane 037,81.4,7.3,78.1,64.9,84.5,85.6
Prathamesh Wagh 038,88.5,6.4,89.3,58.7,75.2,87.8
Rahul Joshi 039,74.5,4.6,71.4,61.8,70.1,65.5
Riya Salunkhe 040,69.2,5.5,78.9,100.0,76.4,64.8
Rohan Patil 041,69.7,4.8,69.5,86.7,65.7,63.7
Rohit More 042,97.5,4.8,42.2,64.5,77.4,63.5
Sachin Sawant 043,52.9,6.8,87.1,87.4,81.5,76.7
Sahil Deshmukh 044,60.2,6.5,79.9,94.7,90.4,80.0
Samarth Kadam 045,100.0,3.9,88.2,59.2,68.3,67.2
Sanjay Desai 046,64.5,5.5,85.6,55.9,60.2,66.8
Sarthak Jadhav 047,79.9,5.9,72.1,69.0,48.1,63.8
Shreya Chavan 048,66.0,5.8,63.9,58.5,55.9,56.9
Sneha Kale 049,87.3,5.1,80.3,81.2,85.6,80.1
Tanmay Shinde 050,63.6,3.4,73.0,73.1,46.2,53.5
Tejas Gaikwad 051,75.1,3.6,87.1,84.6,98.0,78.1
Vaishnavi Thorat 052,82.6,4.8,83.6,83.0,76.7,68.5
Vedant Pawar 053,58.7,7.0,87.6,79.1,80.1,71.3
Yash Bhosale 054,92.1,4.8,81.4,74.2,72.7,85.8
Aarav Lokhande 055,81.7,1.2,94.6,61.3,52.1,67.1
Aditi Kulkarni 056,80.9,4.3,42.2,68.0,98.0,73.6
Aditya Mane 057,90.7,6.0,49.0,64.6,68.2,71.2
Akash Wagh 058,95.6,4.7,52.5,66.5,64.2,60.0
Akshay Joshi 059,80.1,2.8,77.4,61.2,76.8,56.3
Aman Salunkhe 060,82.6,6.4,68.1,68.3,84.5,62.2
Amol Patil 061,95.1,5.1,69.3,51.6,89.0,69.5
Ananya More 062,72.7,7.6,78.9,76.7,85.3,81.8
Aniket Sawant 063,73.1,3.6,81.9,60.1,60.1,65.6
Anjali Deshmukh 064,78.0,6.5,87.0,57.2,55.7,70.5
Ansh Kadam 065,82.1,3.3,79.7,60.6,72.2,66.7
Arjun Desai 066,79.3,3.6,53.7,82.4,75.7,65.9
Aryan Jadhav 067,62.0,4.9,62.1,74.5,62.6,61.4
Ashish Chavan 068,83.1,3.2,68.3,73.8,59.4,63.9
Avani Kale 069,84.1,6.3,59.4,74.1,70.7,65.2
Bhakti Shinde 070,77.5,4.4,70.3,65.5,71.3,67.3
Chetan Gaikwad 071,63.3,5.9,54.7,83.8,52.9,55.2
Deepak Thorat 072,81.1,6.4,75.0,60.0,64.4,69.9
Diya Pawar 073,80.9,1.0,74.3,57.8,40.7,50.7
Gaurav Bhosale 074,76.7,5.2,74.5,47.4,59.1,71.7
Harsh Lokhande 075,66.1,3.9,81.7,54.0,69.3,73.4
Isha Kulkarni 076,63.7,5.2,44.7,63.5,55.7,57.1
Ishaan Mane 077,74.5,3.9,81.8,64.7,72.9,62.5
Karan Wagh 078,60.7,4.1,85.1,57.4,83.0,77.7
Kavya Joshi 079,89.0,6.5,73.0,82.9,67.1,77.0
Krishna Salunkhe 080,62.7,3.4,44.5,70.1,70.4,54.8
Manas Patil 081,83.9,2.9,69.5,67.0,76.6,64.8
Manav More 082,63.4,4.5,57.7,76.3,82.0,67.5
Mayur Sawant 083,82.7,4.2,71.2,77.6,72.3,65.6
Meera Deshmukh 084,91.8,7.1,73.5,69.9,71.8,74.3
Mihir Kadam 085,86.2,5.0,80.6,76.1,58.2,73.4
Neha Desai 086,95.5,5.1,84.1,56.2,61.5,71.2
Nikhil Jadhav 087,84.8,3.0,47.2,59.5,73.0,58.8
Nikita Chavan 088,60.7,3.8,66.0,91.3,98.0,76.0
Om Kale 089,93.1,5.4,80.9,66.2,54.8,76.5
